,title,distributor,genre,release_time,time,screening_rat,director,dir_prev_bfnum,dir_prev_num,num_staff,num_actor,box_off_num
398,평양성,롯데엔터테인먼트,코미디,2011-01-27,117분,12세 관람가,이준익,,0,499,5,1717566명
399,피끓는 청춘,롯데엔터테인먼트,코미디,2014-01-22,121분,15세 관람가,이연우,3024666.0,1,298,4,1676040명
400,돈의 맛,시너지,드라마,2012-05-17,115분,청소년 관람불가,임상수,1276480.0,2,324,4,1166025명
401,야관문 : 욕망의 꽃,(주)마운틴픽쳐스,미스터리,2013-11-07,95분,청소년 관람불가,임경수,593867.0,1,30,2,6085명
402,열애,(주) 케이알씨지,멜로/로맨스,2014-07-23,84분,청소년 관람불가,이숭환,,0,42,3,1564명
403,설인,CJ 엔터테인먼트,SF,2013-03-14,91분,청소년 관람불가,이사무엘,57.0,1,162,2,988명
404,태어나서 미안해,CJ 엔터테인먼트,드라마,2012-03-08,80분,15세 관람가,최영석,,0,51,3,201명
405,깔깔깔 희망버스,(주)마운틴픽쳐스,다큐멘터리,2012-09-27,84분,15세 관람가,이수정,533.5,2,3,3,691명
406,내가 고백을 하면,(주)마인스엔터테인먼트,드라마,2012-11-15,100분,15세 관람가,조성규,,0,32,2,11969명
407,다이빙벨,시네마달,다큐멘터리,2014-10-23,77분,15세 관람가,이상호,,0,35,1,50308명
408,오피스,리틀빅픽처스,공포,2015-09-03,111분,15세 관람가,홍원찬,2888383.5,4,264,2,441208명
409,타짜-신의 손,롯데엔터테인먼트,드라마,2014-09-03,147분,청소년 관람불가,강형철,7838528.5,2,583,4,4015364명
410,전망 좋은 방-밀애,(주) 케이알씨지,멜로/로맨스,2012-11-08,71분,청소년 관람불가,이세일,,0,0,3,10명
411,핑크,(주)마운틴픽쳐스,드라마,2012-03-15,97분,청소년 관람불가,전수일,984.0,1,49,2,971명
412,코리아,CJ 엔터테인먼트,드라마,2012-05-03,127분,12세 관람가,문현성,2376429.33333333,3,419,2,1872682명
413,이쁜 것들이 되어라,무비꼴라쥬,멜로/로맨스,2014-04-17,99분,15세 관람가,한승훈,234261.0,1,54,3,542명
414,미스체인지,(주) 브릿지웍스,코미디,2013-09-05,100분,청소년 관람불가,정초신,813164.0,1,75,4,6054명
415,부귀영화,(주)마운틴픽쳐스,다큐멘터리,2012-10-25,85분,15세 관람가,인진미,,0,11,3,158명
416,은실이,CJ 엔터테인먼트,애니메이션,2012-03-08,71분,청소년 관람불가,김선아,,0,17,3,218명
417,허삼관,(주)NEW,드라마,2015-01-14,124분,12세 관람가,하정우,,0,412,2,956103명
418,오월愛,상구네 필름,다큐멘터리,2011-05-12,104분,전체 관람가,김태일,,0,4,0,4092명
419,꿈보다 해몽,KT&G 상상마당,드라마,2015-02-12,98분,15세 관람가,이광국,,0,91,3,4486명
420,마이 블랙 미니드레스,CJ 엔터테인먼트,드라마,2011-03-24,108분,15세 관람가,허인무,,0,399,4,313953명
421,마마 앤드 파파,케이엠스타,드라마,2010-05-20,117분,전체 관람가,장태령,,0,76,4,3099명
422,전설의 주먹,CJ 엔터테인먼트,액션,2013-04-10,153분,청소년 관람불가,강우석,844821.0,3,335,6,1744585명
423,들개들,골든타이드픽처스,공포,2014-01-23,99분,청소년 관람불가,하원준,38770.0,2,74,3,1617명
424,짐승,(주)키노아이,액션,2011-07-28,93분,청소년 관람불가,황유식,506419.0,2,54,2,480명
425,보라,시네마달,다큐멘터리,2011-11-24,136분,전체 관람가,이강현,,0,7,0,389명
426,환타스틱 러브짐: 전쟁 같은 사랑,(주)유비네트워크,코미디,2015-10-08,83분,청소년 관람불가,한우진,,0,7,7,303명
427,캠퍼스 S 커플,(주) 액티버스엔터테인먼트,멜로/로맨스,2014-05-15,108분,청소년 관람불가,송창용,664267.0,2,66,4,891명
428,한민족 그리고 조선족,한국YWCA연합회,다큐멘터리,2014-12-10,61분,전체 관람가,전화성,345.333333333333,3,2,6,71명
429,신의 한 수,(주)쇼박스,느와르,2014-07-03,118분,청소년 관람불가,조범구,1731903.0,2,418,5,3566844명
430,나는 야한 여자가 좋다 2,드림로드,멜로/로맨스,2014-10-01,80분,청소년 관람불가,김봉은,3534.0,1,26,2,1250명
431,투혼,시너지,드라마,2011-10-06,124분,전체 관람가,김상진,3907784.5,4,335,4,210970명
432,젊은 엄마 2,골든타이드픽처스,멜로/로맨스,2014-05-29,89분,청소년 관람불가,노성수,,0,0,1,1명
433,플랜맨,롯데엔터테인먼트,코미디,2014-01-09,115분,15세 관람가,성시흡,5046096.0,1,192,2,635744명
434,미스터 고,(주)쇼박스,드라마,2013-07-17,132분,12세 관람가,김용화,6081480.0,1,422,2,1329061명
435,손님,CJ 엔터테인먼트,SF,2015-07-09,107분,15세 관람가,김광태,522925.0,3,367,4,828029명
436,"의궤, 8일간의 축제 3D",KBS미디어(주),다큐멘터리,2014-04-17,73분,전체 관람가,최필곤,,0,3,1,7956명
437,나쁜 나라,(주)시네마달,다큐멘터리,2015-12-03,120분,12세 관람가,김진열,,0,2,0,21576명
438,산다,리틀빅픽처스,드라마,2015-05-21,166분,청소년 관람불가,박정범,,0,180,4,4398명
439,트루맛쇼,더 피플,다큐멘터리,2011-06-02,70분,12세 관람가,김재환,,0,20,1,12341명
440,조선안방 스캔들-칠거지악,(주) 케이알씨지,멜로/로맨스,2015-10-22,76분,청소년 관람불가,이전,,0,10,4,368명
441,붉은 가족,김기덕 필름,드라마,2013-11-06,99분,15세 관람가,이주형,,0,61,3,3916명
442,악마를 보았다,(주)쇼박스,느와르,2010-08-12,144분,청소년 관람불가,김지운,,0,582,2,1817069명
443,U.F.O.,인디스토리,드라마,2012-05-24,91분,청소년 관람불가,공귀현,,0,70,4,1240명
444,중독애,(주) 케이알씨지,멜로/로맨스,2014-07-16,83분,청소년 관람불가,한소준,,0,24,4,1547명
445,방자전,CJ 엔터테인먼트,드라마,2010-06-02,124분,청소년 관람불가,김대우,768549.333333333,3,481,3,2985556명
446,김종욱 찾기,CJ 엔터테인먼트,멜로/로맨스,2010-12-08,112분,12세 관람가,장유정,,0,547,2,1122225명
447,슬기로운 해법,시네마달,다큐멘터리,2014-05-15,94분,12세 관람가,태준식,,0,24,3,4766명
448,나의 불행에는 이유가 있다,위드시네마,드라마,2010-11-25,86분,15세 관람가,한상민,,0,0,4,46명
449,춤추는 동물원,인디플러그,드라마,2010-12-02,114분,15세 관람가,김효정,,0,61,2,865명
450,줄탁동시,인디스토리,드라마,2012-03-01,119분,청소년 관람불가,김경묵,,0,18,2,3694명
451,블러디 쉐이크,팜코리아미디어,드라마,2010-05-27,105분,청소년 관람불가,김지용,,0,121,7,721명
452,고양이: 죽음을 보는 두 개의 눈,(주)NEW,공포,2011-07-07,106분,15세 관람가,변승욱,200836.0,1,61,3,672340명
453,"실론, 세렌디피티",(주)씨엠닉스,드라마,2015-12-14,108분,15세 관람가,권중목,,0,23,2,136명
454,최후의 툰드라 - 극장판,SBS콘텐츠허브,다큐멘터리,2011-02-17,101분,전체 관람가,장경수,,0,3,1,10203명
455,탐정 : 더 비기닝,CJ 엔터테인먼트,코미디,2015-09-24,120분,15세 관람가,김정훈,1689216.5,2,438,2,2625686명
456,"60년전, 사선에서",인터콘미디어,다큐멘터리,2010-06-24,63분,전체 관람가,박성미,,0,10,0,79명
457,공정사회,(주)엣나인필름,드라마,2013-04-18,75분,청소년 관람불가,이지승,,0,93,4,14537명
458,이웃사람,롯데엔터테인먼트,공포,2012-08-22,115분,청소년 관람불가,김휘,2429219.33333333,3,257,8,2434435명
459,여배우 공작단,(주) 케이알씨지,멜로/로맨스,2014-06-19,74분,청소년 관람불가,전태윤,,0,7,4,2729명
460,"광해, 왕이 된 남자",CJ 엔터테인먼트,드라마,2012-09-13,131분,15세 관람가,추창민,1552541.0,2,402,3,12323595명
461,앨리스: 원더랜드에서 온 소년,(주)유비콘텐츠,SF,2015-12-10,115분,15세 관람가,허은희,,0,82,3,9323명
462,"어떤 여행, 시민창작뮤지컬",(주)마운틴픽쳐스,다큐멘터리,2015-05-07,79분,전체 관람가,김정욱,,0,14,1,112명
463,우리는 형제입니다,(주)쇼박스,코미디,2014-10-23,102분,12세 관람가,장진,73729.0,1,357,4,970377명
464,순교,파이오니아21,다큐멘터리,2015-08-13,83분,전체 관람가,김상철,33039.5,2,19,6,16248명
465,네버엔딩 스토리,화앤담이엔티,멜로/로맨스,2012-01-18,114분,15세 관람가,정용주,8.0,1,200,2,283449명
466,연애의 온도,롯데엔터테인먼트,멜로/로맨스,2013-03-21,112분,청소년 관람불가,노덕,145.0,1,252,2,1865354명
467,연가시,CJ 엔터테인먼트,드라마,2012-07-05,109분,15세 관람가,박정우,578474.5,2,128,4,4515833명
468,미쓰GO,NEW,코미디,2012-06-21,115분,15세 관람가,박철관,,0,120,5,611685명
469,그 사람 추기경,(주)프레인글로벌,다큐멘터리,2014-08-06,121분,전체 관람가,전성우,,0,54,1,13538명
470,엄마에게,어뮤즈,드라마,2012-05-31,72분,전체 관람가,이홍재,1174495.0,1,86,4,574명
471,뷰티풀 차일드,(주)마운틴픽쳐스,다큐멘터리,2013-11-28,93분,전체 관람가,이성수,,0,9,1,703명
472,감시자들,(주)NEW,느와르,2013-07-03,119분,15세 관람가,조의석,80741.0,2,331,3,5508299명
473,성난 변호사,CJ 엔터테인먼트,느와르,2015-10-08,117분,15세 관람가,허종호,881793.0,3,431,3,1131154명
474,스파이 파파,마노엔터테인먼트,드라마,2011-10-27,80분,전체 관람가,한승룡,1200.0,1,53,4,484명
475,웨딩드레스,싸이더스,드라마,2010-01-14,109분,전체 관람가,권형진,462623.0,1,261,2,143458명
476,수상한 그녀,CJ 엔터테인먼트,코미디,2014-01-22,124분,15세 관람가,황동혁,2781990.5,2,437,5,8659725명
477,황해,(주)쇼박스,느와르,2010-12-22,156분,청소년 관람불가,나홍진,5046096.0,1,683,3,2260512명
478,나의 사랑 나의 신부,씨네그루(주)키다리이엔티,멜로/로맨스,2014-10-08,111분,15세 관람가,임찬상,748380.0,1,287,2,2141155명
479,피해자들,골든타이드픽처스,드라마,2014-07-31,89분,청소년 관람불가,노진수,,0,81,2,494명
480,차이나 블루,프로젝트 엠피,드라마,2012-12-13,102분,청소년 관람불가,김건,,0,101,3,482명
481,려수,(주) 영화사조제,드라마,2011-11-10,98분,15세 관람가,진광교,,0,1,2,36명
482,나인뮤지스; 그녀들의 서바이벌,하준사,다큐멘터리,2014-09-25,82분,12세 관람가,이학준,,0,0,1,600명
483,데드 엔드,마노엔터테인먼트,미스터리,2013-11-14,96분,청소년 관람불가,윤여창,,0,38,3,205명
484,인 허 플레이스,홀리가든,드라마,2015-12-17,115분,청소년 관람불가,알버트 신,,0,28,3,1599명
485,끝까지 간다,(주)쇼박스,느와르,2014-05-29,111분,15세 관람가,김성훈,436101.5,2,343,2,3450305명
486,뷰티 인사이드,(주)NEW,멜로/로맨스,2015-08-20,127분,12세 관람가,백종열,4210890.33333333,3,572,22,2057896명
487,대호,(주)NEW,드라마,2015-12-16,139분,12세 관람가,박훈정,2270048.5,2,612,1,1762733명
488,몽골리안 프린세스,(주) 영화사조제,멜로/로맨스,2015-03-19,80분,청소년 관람불가,정단우,,0,34,3,424명
489,식객: 김치전쟁,롯데엔터테인먼트,드라마,2010-01-28,119분,전체 관람가,백동훈,,0,372,3,462714명
490,춘하추동 로맨스,(주)노버스엔터테인먼트,코미디,2014-12-04,100분,15세 관람가,오창민,,0,54,7,1217명
491,R2B: 리턴투베이스,주머니필름,액션,2012-08-15,113분,15세 관람가,김동원,,0,477,7,1201944명
492,불안한 외출,홀리가든,다큐멘터리,2015-12-10,90분,15세 관람가,김철민,,0,24,2,1958명
493,좀비스쿨,BoXoo 엔터테인먼트,공포,2014-09-25,87분,청소년 관람불가,김석정,2515.5,2,119,4,7721명
494,화차,필라멘트 픽쳐스,미스터리,2012-03-08,117분,15세 관람가,변영주,43734.0,2,308,3,2436884명
495,닥터,(주)마인스 엔터테인먼트,공포,2013-06-20,97분,청소년 관람불가,김성홍,,0,20,3,68312명
496,설국열차,CJ 엔터테인먼트,SF,2013-08-01,125분,15세 관람가,봉준호,,0,67,10,9350351명
497,쿠바의 연인,시네마 달,다큐멘터리,2011-01-13,93분,15세 관람가,정호현,,0,0,2,4340명
498,암살,(주)쇼박스,액션,2015-07-22,139분,15세 관람가,최동훈,5169479.0,4,628,3,12706663명
499,두 여자,CJ 엔터테인먼트,멜로/로맨스,2010-11-18,105분,청소년 관람불가,정윤수,1421201.0,2,354,3,129576명
500,한양 기방 춘향뎐,(주) 케이알씨지,멜로/로맨스,2015-11-25,89분,청소년 관람불가,김민욱,,0,0,1,400명
501,베드,(주)마운틴픽쳐스,멜로/로맨스,2013-01-17,91분,청소년 관람불가,박철수,,0,37,3,660명
502,뜨거운 안녕,나이너스엔터테인먼트(주),드라마,2013-05-30,99분,12세 관람가,남택수,,0,206,4,47105명
503,애니멀 타운,트리필름,드라마,2011-03-10,97분,청소년 관람불가,전규환,,0,1,2,1379명
504,천사의 숨소리,롤러코스터 프로덕션,코미디,2012-02-23,93분,12세 관람가,한지원,,0,53,2,1873명
505,해적: 바다로 간 산적,롯데엔터테인먼트,SF,2014-08-06,130분,12세 관람가,이석훈,1843894.66666667,3,868,2,8666208명
506,우리 선희,(주) 영화제작전원사,드라마,2013-09-12,89분,청소년 관람불가,홍상수,,0,8,6,69122명
507,내 아내의 모든 것,(주)NEW,멜로/로맨스,2012-05-17,121분,15세 관람가,민규동,,0,340,3,4598985명
508,모차르트 락 오페라,SK플래닛,뮤지컬,2011-11-17,133분,전체 관람가,정성복,,0,4,4,16323명
509,고양이 춤,인디스토리,다큐멘터리,2011-11-17,76분,전체 관람가,윤기형,,0,42,3,12486명
510,도약선생,(주) 영화사조제,드라마,2011-06-30,65분,12세 관람가,윤성호,,0,17,4,2155명
511,서울연애,서울독립영화제,드라마,2014-10-30,120분,청소년 관람불가,최시형,,0,103,16,1547명
512,마담 뺑덕,CJ 엔터테인먼트,멜로/로맨스,2014-10-02,111분,청소년 관람불가,임필성,14188.0,1,450,3,471248명
513,푸른소금,스튜디오 블루,드라마,2011-08-31,120분,15세 관람가,이현승,20380.0,1,436,2,771699명
514,윤희,노바엔터테인먼트,드라마,2014-01-09,89분,청소년 관람불가,윤여창,,0,11,2,561명
515,고스톱 살인,(주)랠리버튼,SF,2014-03-20,100분,15세 관람가,김준권,,0,77,3,820명
516,서부전선,롯데엔터테인먼트,액션,2015-09-24,112분,12세 관람가,천성일,4385472.0,2,388,2,609063명
517,깡철이,CJ 엔터테인먼트,드라마,2013-10-02,108분,15세 관람가,안권태,1918611.5,2,143,2,1209363명
518,577 프로젝트,필라멘트 픽쳐스,코미디,2012-08-30,99분,15세 관람가,이근우,1198419.5,2,150,2,96080명
519,보호자,무비꼴라쥬,느와르,2014-04-10,88분,15세 관람가,유원상,2496.0,1,128,3,458명
520,더 웹툰: 예고살인,CJ 엔터테인먼트,공포,2013-06-27,104분,15세 관람가,김용균,1670652.0,1,243,2,1201033명
521,스타: 빛나는 사랑,(주)마운틴픽쳐스,드라마,2012-10-11,98분,12세 관람가,한상희,,0,65,6,577명
522,화이트: 저주의 멜로디,CJ E&M Pictures,공포,2011-06-09,106분,15세 관람가,김곡,,0,98,5,790959명
523,옥희의 영화,스폰지,드라마,2010-09-16,80분,청소년 관람불가,홍상수,,0,57,3,37122명
524,코인라커,(주)드림팩트엔터테인먼트,느와르,2015-05-28,95분,청소년 관람불가,김태경,228385.0,1,115,2,1008명
525,반드시 크게 들을 것,인디스토리,다큐멘터리,2010-04-22,95분,15세 관람가,백승화,,0,16,11,2732명
526,고스트 메신저 극장판,에이원 엔터테인먼트,애니메이션,2014-05-22,78분,12세 관람가,구봉회,,0,0,5,23802명
527,그놈이다,CGV 아트하우스,공포,2015-10-28,109분,15세 관람가,윤준형,1081752.0,1,317,3,1046313명
528,귀,CJ 엔터테인먼트,공포,2010-06-10,109분,15세 관람가,김조광수,,0,255,13,13108명
529,맛있는 덫-정사,(주) 케이알씨지,멜로/로맨스,2015-10-07,88분,청소년 관람불가,신정균,752.5,2,22,2,426명
530,7번방의 선물,(주)NEW,코미디,2013-01-23,127분,15세 관람가,이환경,819049.5,2,300,8,12811435명
531,꿈은 이루어진다,CJ 엔터테인먼트,코미디,2010-05-27,113분,15세 관람가,계윤식,1468191.0,1,258,2,101698명
532,남자사용설명서,(주)쇼박스,멜로/로맨스,2013-02-14,116분,15세 관람가,이원석,,0,158,3,507913명
533,홈 스위트 홈,머스트 씨 무비,애니메이션,2014-07-17,67분,12세 관람가,안도 마사히로,,0,8,3,2329명
534,밀양 아리랑,시네마달,다큐멘터리,2015-07-16,102분,15세 관람가,박배일,,0,5,4,3044명
535,조선마술사,롯데엔터테인먼트,드라마,2015-12-30,122분,12세 관람가,김대승,1347413.75,4,574,2,627586명
536,스파이,이십세기폭스코리아(주),코미디,2015-05-21,120분,15세 관람가,폴 페이그,,0,14,6,2318748명
537,터널 3D,BoXoo 엔터테인먼트,공포,2014-08-20,86분,15세 관람가,박규택,,0,365,4,81008명
538,마이 보이,트리필름,드라마,2014-04-10,99분,12세 관람가,전규환,,0,117,4,3523명
539,구르믈 버서난 달처럼,SK텔레콤(주),드라마,2010-04-28,111분,15세 관람가,이준익,,0,410,4,1383867명
540,헤드,SBS콘텐츠허브,액션,2011-05-26,100분,청소년 관람불가,조운,145.0,1,290,3,61414명
541,어이그 저 귓것,영화사 진진,드라마,2011-08-25,90분,전체 관람가,오멸,,0,0,5,732명
542,감금의 시간,마법사필름,공포,2015-12-03,91분,청소년 관람불가,김대성,,0,1,2,555명
543,"협녀, 칼의 기억",롯데엔터테인먼트,액션,2015-08-13,121분,15세 관람가,박흥식,120930.333333333,3,439,3,431310명
544,꼭 껴안고 눈물 핑,스폰지이엔티,멜로/로맨스,2011-03-10,78분,15세 관람가,김동원,340.0,1,9,3,614명
545,남쪽으로 간다,시네마달,드라마,2012-11-15,45분,청소년 관람불가,이송희일,3389.0,1,2,2,2919명
546,설마 그럴리가 없어,(주) 영화사조제,드라마,2012-06-21,95분,12세 관람가,조성규,,0,23,2,1679명
547,제보자,메가박스(주)플러스엠,드라마,2014-10-02,114분,12세 관람가,임순례,15495.6666666667,3,277,3,1755181명
548,5백만불의 사나이,CJ 엔터테인먼트,코미디,2012-07-19,107분,15세 관람가,김익로,107375.5,2,157,3,104736명
549,맛있는 택배,(주)로드하우스,멜로/로맨스,2015-04-02,84분,청소년 관람불가,기대호,,0,0,1,6226명
550,두만강,인디스토리,드라마,2011-03-17,93분,15세 관람가,장률,,0,22,3,2429명
551,명량: 회오리 바다를 향하여,(주)NEW,다큐멘터리,2015-05-07,95분,12세 관람가,정세교,2723789.25,4,12,5,8897명
552,자칼이 온다,롯데엔터테인먼트,코미디,2012-11-15,107분,15세 관람가,배형준,19.0,2,215,3,210278명
553,미라클 여행기,미라클 필름,다큐멘터리,2015-01-15,84분,전체 관람가,허철,,0,0,1,3399명
554,위험한 섹스,(주) 케이알씨지,멜로/로맨스,2015-09-23,72분,청소년 관람불가,이전,,0,0,1,419명
555,듀엣,(주) 영화사조제,드라마,2012-04-19,96분,전체 관람가,이상빈,,0,61,2,1081명
556,채식주의자,스폰지,드라마,2010-02-18,113분,청소년 관람불가,임우성,,0,153,5,3536명
557,목숨,필라멘트 픽쳐스,다큐멘터리,2014-12-04,95분,12세 관람가,이창재,,0,139,4,38771명
558,나나나 : 여배우 민낯 프로젝트,서울독립영화제,다큐멘터리,2012-08-23,89분,12세 관람가,부지영,,0,1,3,1028명
559,특종: 량첸살인기,롯데엔터테인먼트,공포,2015-10-22,125분,15세 관람가,노덕,145.0,1,303,3,616481명
560,폐가,시너지,공포,2010-08-19,84분,15세 관람가,이철하,,0,118,6,225955명
561,숨바꼭질,(주)NEW,공포,2013-08-14,107분,15세 관람가,허정,,0,249,3,5604106명
562,이파네마 소년,프리비젼 엔터테인먼트,멜로/로맨스,2010-11-04,94분,12세 관람가,김기훈,,0,158,2,3436명
563,웨딩스캔들,(주)마인스엔터테인먼트,멜로/로맨스,2012-09-06,90분,15세 관람가,신재호,67602.0,1,57,2,21295명
564,사요나라 이츠카,CJ 엔터테인먼트,드라마,2010-04-15,133분,청소년 관람불가,이재한,1887850.0,1,404,3,23229명
565,도쿄 택시,(주)키노아이,코미디,2010-05-20,75분,전체 관람가,김태식,,0,80,3,6034명
566,전국노래자랑,롯데엔터테인먼트,코미디,2013-05-01,112분,12세 관람가,이종필,385977.5,2,245,8,978413명
567,술에 대하여 - 극장판,이모션 픽처스,다큐멘터리,2011-09-01,72분,15세 관람가,임범,,0,0,2,541명
568,공범,CJ 엔터테인먼트,공포,2013-10-24,95분,15세 관람가,국동석,1389992.0,4,281,2,1766285명
569,네모난원,영화사 廊,드라마,2012-12-06,100분,15세 관람가,김성훈,86837.0,2,10,3,7173명
570,소리굽쇠,CJ 엔터테인먼트,드라마,2014-10-30,105분,15세 관람가,추상록,163019.5,2,154,3,3060명
571,뫼비우스,(주)NEW,드라마,2013-09-05,90분,청소년 관람불가,김기덕,,0,93,3,35348명
572,천 번을 불러도,(주)마운틴픽쳐스,드라마,2014-10-16,97분,15세 관람가,신성섭,,0,51,3,685명
573,"1999, 면회",인디스토리,드라마,2013-02-21,85분,15세 관람가,김태곤,,0,32,4,3404명
574,사랑을 말하다,크리에이티브컴즈(주),드라마,2012-09-13,61분,15세 관람가,전화성,424.0,2,6,8,188명
575,분홍돌고래,ysfilm,드라마,2010-07-01,78분,12세 관람가,조연수,,0,17,7,172명
576,점쟁이들,(주)NEW,코미디,2012-10-03,119분,15세 관람가,신정원,1030261.0,3,380,6,953682명
577,망원동 인공위성,시네마달,다큐멘터리,2015-02-05,108분,12세 관람가,김형주,,0,8,1,2972명
578,"메밀꽃, 운수 좋은 날, 그리고 봄봄",이달투,애니메이션,2014-08-21,90분,전체 관람가,안재훈,53235.0,1,167,7,35567명
579,지옥화,(주)팝엔터테인먼트,드라마,2014-11-06,99분,청소년 관람불가,이상우,,0,42,3,600명
580,정글히어로,CJ 엔터테인먼트,애니메이션,2014-10-02,82분,전체 관람가,박태동,,0,0,6,72052명
581,자가당착: 시대정신과 현실참여,인디플러그,코미디,2015-09-10,74분,청소년 관람불가,김선,7763.0,1,29,4,532명
582,뽀로로 극장판 컴퓨터 왕국 대모험,(주)NEW,애니메이션,2015-12-10,62분,전체 관람가,박영균,,0,2,8,446054명
583,창수,(주)마인스 엔터테인먼트,느와르,2013-11-28,103분,청소년 관람불가,이덕희,281.0,1,194,5,429141명
584,페스티발,시너지,코미디,2010-11-18,109분,청소년 관람불가,이해영,475388.0,3,420,7,196995명
585,후쿠시마의 미래,인디플러그,다큐멘터리,2015-04-09,70분,전체 관람가,이홍기,,0,4,1,938명
586,청야,마노엔터테인먼트,드라마,2013-12-26,83분,12세 관람가,김재수,,0,2,4,4550명
587,서유기 리턴즈,(주) 영화사조제,SF,2011-02-17,79분,전체 관람가,신재호,67602.0,1,220,4,12696명
588,하울링,CJ 엔터테인먼트,느와르,2012-02-16,114분,15세 관람가,유하,2061296.66666667,3,288,2,1612554명
589,상의원,(주)쇼박스,드라마,2014-12-24,127분,15세 관람가,이원석,,0,456,5,790370명
590,짐승의 끝,CJ 엔터테인먼트,미스터리,2011-03-17,114분,청소년 관람불가,조성희,,0,92,2,1250명
591,아티스트 봉만대,씨너스엔터테인먼트(주),코미디,2013-08-29,101분,청소년 관람불가,봉만대,,0,59,4,14188명
592,차이나타운,CGV아트하우스,느와르,2015-04-29,110분,청소년 관람불가,한준희,597497.0,3,420,3,1472147명
593,낭만파 남편의 편지,퍼스트런,미스터리,2013-09-12,97분,청소년 관람불가,최위안,,0,5,3,1132명
594,오빠가 돌아왔다,(주)마운틴픽쳐스,코미디,2014-03-20,94분,청소년 관람불가,노진수,,0,37,5,1958명
595,해무,(주)NEW,드라마,2014-08-13,111분,청소년 관람불가,심성보,3833.0,1,510,7,1475091명
596,파파로티,(주)쇼박스,드라마,2013-03-14,127분,15세 관람가,윤종찬,496061.0,1,286,6,1716438명
597,살인의 강,(주)마운틴픽쳐스,공포,2010-09-30,99분,청소년 관람불가,김대현,,0,123,4,2475명
598,악의 연대기,CJ 엔터테인먼트,느와르,2015-05-14,102분,15세 관람가,백운학,,0,431,4,2192525명
599,베를린,CJ 엔터테인먼트,액션,2013-01-30,120분,15세 관람가,류승완,,0,363,5,7166532명
